ProjectID,Project-Number,Name,Address,Geometry,LocationJSON
117783,21-126,HME ERECTION 21-125 PROJECT STORM,NULL,"{""location"":{""lat"":null,""lng"":null},""viewport"":{""east"":null,""north"":null,""south"":null,""west"":null}}","{""Street1"":null,""Street2"":null,""City"":null,""State"":null,""Zip"":null,""Country"":null,""GooglePlaceID"":null,""CityStateString"":null,""Address_HTML"":null,""Address_Formatted"":null,""Address_Vicinity"":null,""DistanceToHME"":""{\""DistanceMeters\"":null,\""DistanceMiles\"":0,\""DistanceText\"":null,\""DurationDays\"":0,\""DurationMinutes\"":0,\""DurationSeconds\"":null,\""DurationText\"":null,\""TransitDurationText\"":null}"",""Geometry"":""{\""location\"":{\""lat\"":null,\""lng\"":null},\""viewport\"":{\""east\"":null,\""north\"":null,\""south\"":null,\""west\"":null}}""}"
117821,21-127,Ellsworth AFB B-21 Low Observable Restoration Facility,"Ellsworth AFB, SD, USA","{""location"":{""lat"":44.1463938,""lng"":-103.0748767},""viewport"":{""east"":-103.0598870688351,""north"":44.15828397202055,""south"":44.12544001006568,""west"":-103.0944189548774}}","{""Street1"":null,""Street2"":null,""City"":""Ellsworth AFB"",""State"":""SD"",""Zip"":null,""Country"":""USA"",""GooglePlaceID"":""ChIJly7DSS9kfYcR1tqsdzQg-AQ"",""CityStateString"":""Ellsworth AFB, SD"",""Address_HTML"":""<span class=\""locality\"">Ellsworth AFB</span>, <span class=\""region\"">SD</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""Ellsworth AFB, SD, USA"",""Address_Vicinity"":""Ellsworth Air Force Base"",""DistanceToHME"":""{\""DistanceMeters\"":1077544,\""DistanceMiles\"":669.5564641405794,\""DistanceText\"":\""670 mi\"",\""DurationDays\"":1.2295138888888888,\""DurationMinutes\"":590.1666666666666,\""DurationSeconds\"":35410,\""DurationText\"":\""9 hours 50 mins\"",\""TransitDurationText\"":\""1 day, 1 hour, 51 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":44.1463938,\""lng\"":-103.0748767},\""viewport\"":{\""east\"":-103.0598870688351,\""north\"":44.15828397202055,\""south\"":44.12544001006568,\""west\"":-103.0944189548774}}""}"
117877,21-130,UPS 747-8F MAINTENANCE HANGAR,"4435 Crittenden Dr, Louisville, KY 40209, USA","{""location"":{""lat"":38.1879064,""lng"":-85.7506774},""viewport"":{""east"":-85.7493284197085,""north"":38.1892553802915,""south"":38.1865574197085,""west"":-85.75202638029151}}","{""Street1"":""4435 Crittenden Dr"",""Street2"":null,""City"":""Louisville"",""State"":""KY"",""Zip"":""40209"",""Country"":""USA"",""GooglePlaceID"":""Ei00NDM1IENyaXR0ZW5kZW4gRHIsIExvdWlzdmlsbGUsIEtZIDQwMjA5LCBVU0EiMRIvChQKEgmL6i_wmQ1piBEYmIMaTPayBRDTIioUChIJ8X21-rwNaYgRPoLmflQPk78"",""CityStateString"":""Louisville, KY"",""Address_HTML"":""<span class=\""street-address\"">4435 Crittenden Dr</span>, <span class=\""locality\"">Louisville</span>, <span class=\""region\"">KY</span> <span class=\""postal-code\"">40209</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""4435 Crittenden Dr, Louisville, KY 40209, USA"",""Address_Vicinity"":""Louisville"",""DistanceToHME"":""{\""DistanceMeters\"":935009,\""DistanceMiles\"":580.9891011221991,\""DistanceText\"":\""581 mi\"",\""DurationDays\"":1.0739930555555555,\""DurationMinutes\"":515.5166666666667,\""DurationSeconds\"":30931,\""DurationText\"":\""8 hours 36 mins\"",\""TransitDurationText\"":\""1 day, 34 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":38.1879064,\""lng\"":-85.7506774},\""viewport\"":{\""east\"":-85.7493284197085,\""north\"":38.1892553802915,\""south\"":38.1865574197085,\""west\"":-85.75202638029151}}""}"
118022,21-132,Blair Intake,"Fairview Dr, Blair, NE 68008, USA","{""location"":{""lat"":41.5515604,""lng"":-96.1264618},""viewport"":{""east"":-96.12511281970849,""north"":41.5529093802915,""south"":41.5502114197085,""west"":-96.1278107802915}}","{""Street1"":""Fairview Dr"",""Street2"":null,""City"":""Blair"",""State"":""NE"",""Zip"":""68008"",""Country"":""USA"",""GooglePlaceID"":""EiFGYWlydmlldyBEciwgQmxhaXIsIE5FIDY4MDA4LCBVU0EiLiosChQKEglhUbty88aThxEWOWQ9d5-3wxIUChIJ1S9RXJbGk4cRPBWuvyKOb60"",""CityStateString"":""Blair, NE"",""Address_HTML"":""<span class=\""street-address\"">Fairview Dr</span>, <span class=\""locality\"">Blair</span>, <span class=\""region\"">NE</span> <span class=\""postal-code\"">68008</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""Fairview Dr, Blair, NE 68008, USA"",""Address_Vicinity"":""Blair"",""DistanceToHME"":""{\""DistanceMeters\"":290191,\""DistanceMiles\"":180.3167758211441,\""DistanceText\"":\""180 mi\"",\""DurationDays\"":0.3817013888888889,\""DurationMinutes\"":183.21666666666667,\""DurationSeconds\"":10993,\""DurationText\"":\""3 hours 3 mins\"",\""TransitDurationText\"":\""3 hours, 3 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":41.5515604,\""lng\"":-96.1264618},\""viewport\"":{\""east\"":-96.12511281970849,\""north\"":41.5529093802915,\""south\"":41.5502114197085,\""west\"":-96.1278107802915}}""}"
118155,21-135,Consolidated Space Operations Facility,"Sputnik St, Schriever AFB, CO 80930, USA","{""location"":{""lat"":38.797386,""lng"":-104.5245628},""viewport"":{""east"":-104.5232138197085,""north"":38.7987349802915,""south"":38.7960370197085,""west"":-104.5259117802915}}","{""Street1"":""Sputnik St"",""Street2"":null,""City"":""Schriever AFB"",""State"":""CO"",""Zip"":""80930"",""Country"":""USA"",""GooglePlaceID"":""EihTcHV0bmlrIFN0LCBTY2hyaWV2ZXIgQUZCLCBDTyA4MDkzMCwgVVNBIi4qLAoUChIJnQQpoV48E4cR0Kv80Ht0jm4SFAoSCSvS5qEuQROHERNr6PWS645B"",""CityStateString"":""Schriever AFB, CO"",""Address_HTML"":""<span class=\""street-address\"">Sputnik St</span>, <span class=\""locality\"">Schriever AFB</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80930</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""Sputnik St, Schriever AFB, CO 80930, USA"",""Address_Vicinity"":null,""DistanceToHME"":""{\""DistanceMeters\"":804973,\""DistanceMiles\"":500.1882759392049,\""DistanceText\"":\""500 mi\"",\""DurationDays\"":0.9362499999999999,\""DurationMinutes\"":449.4,\""DurationSeconds\"":26964,\""DurationText\"":\""7 hours 29 mins\"",\""TransitDurationText\"":\""7 hours, 32 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":38.797386,\""lng\"":-104.5245628},\""viewport\"":{\""east\"":-104.5232138197085,\""north\"":38.7987349802915,\""south\"":38.7960370197085,\""west\"":-104.5259117802915}}""}"
118268,21-136,Cargo Largo 2021,"3232 S Noland Rd, Independence, MO 64055, USA","{""location"":{""lat"":39.06187089999999,""lng"":-94.4167159},""viewport"":{""east"":-94.41366099999998,""north"":39.0631840302915,""south"":39.0604860697085,""west"":-94.4177342}}","{""Street1"":""3232 S Noland Rd"",""Street2"":null,""City"":""Independence"",""State"":""MO"",""Zip"":""64055"",""Country"":""USA"",""GooglePlaceID"":""ChIJl0smvrfiwIcRt6I1gBtr2aE"",""CityStateString"":""Independence, MO"",""Address_HTML"":""<span class=\""street-address\"">3232 S Noland Rd</span>, <span class=\""locality\"">Independence</span>, <span class=\""region\"">MO</span> <span class=\""postal-code\"">64055</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""3232 S Noland Rd, Independence, MO 64055, USA"",""Address_Vicinity"":""Independence"",""DistanceToHME"":""{\""DistanceMeters\"":128156,\""DistanceMiles\"":79.63264443809264,\""DistanceText\"":\""79.6 mi\"",\""DurationDays\"":0.1642708333333333,\""DurationMinutes\"":78.85,\""DurationSeconds\"":4731,\""DurationText\"":\""1 hour 19 mins\"",\""TransitDurationText\"":\""1 hour, 17 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":39.06187089999999,\""lng\"":-94.4167159},\""viewport\"":{\""east\"":-94.41366099999998,\""north\"":39.0631840302915,\""south\"":39.0604860697085,\""west\"":-94.4177342}}""}"
118285,21-137,Broomfield WRF Carbon Addition,"2985 W 124th Ave, Broomfield, CO 80020, USA","{""location"":{""lat"":39.9216312,""lng"":-105.0245563},""viewport"":{""east"":-105.0234296697085,""north"":39.92282658029149,""south"":39.92012861970849,""west"":-105.0261276302915}}","{""Street1"":""2985 W 124th Ave"",""Street2"":null,""City"":""Broomfield"",""State"":""CO"",""Zip"":""80020-3300"",""Country"":""USA"",""GooglePlaceID"":""ChIJ--dt5I51bIcRL_ZpF85FyRA"",""CityStateString"":""Broomfield, CO"",""Address_HTML"":""<span class=\""street-address\"">2985 W 124th Ave</span>, <span class=\""locality\"">Broomfield</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80020-3300</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""2985 W 124th Ave, Broomfield, CO 80020, USA"",""Address_Vicinity"":""Broomfield"",""DistanceToHME"":""{\""DistanceMeters\"":879898,\""DistanceMiles\"":546.7446282326916,\""DistanceText\"":\""547 mi\"",\""DurationDays\"":0.9701388888888889,\""DurationMinutes\"":465.6666666666667,\""DurationSeconds\"":27940,\""DurationText\"":\""7 hours 46 mins\"",\""TransitDurationText\"":\""7 hours, 46 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":39.9216312,\""lng\"":-105.0245563},\""viewport\"":{\""east\"":-105.0234296697085,\""north\"":39.92282658029149,\""south\"":39.92012861970849,\""west\"":-105.0261276302915}}""}"
118343,21-141,CRESTON WTP PIPE SUPPORTS,"2127 US-34, Creston, IA 50801, USA","{""location"":{""lat"":41.04870639999999,""lng"":-94.2560152},""viewport"":{""east"":-94.25467191970849,""north"":41.0499883802915,""south"":41.0472904197085,""west"":-94.2573698802915}}","{""Street1"":""2127 US-34"",""Street2"":null,""City"":""Creston"",""State"":""IA"",""Zip"":""50801"",""Country"":""USA"",""GooglePlaceID"":""ChIJk5HfUDaF64cR_KOOz0sT1Sk"",""CityStateString"":""Creston, IA"",""Address_HTML"":""<span class=\""street-address\"">2127 US-34</span>, <span class=\""locality\"">Creston</span>, <span class=\""region\"">IA</span> <span class=\""postal-code\"">50801</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""2127 US-34, Creston, IA 50801, USA"",""Address_Vicinity"":""Creston"",""DistanceToHME"":""{\""DistanceMeters\"":303558,\""DistanceMiles\"":188.62266519194205,\""DistanceText\"":\""189 mi\"",\""DurationDays\"":0.4201736111111111,\""DurationMinutes\"":201.68333333333334,\""DurationSeconds\"":12101,\""DurationText\"":\""3 hours 22 mins\"",\""TransitDurationText\"":\""3 hours, 22 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":41.04870639999999,\""lng\"":-94.2560152},\""viewport\"":{\""east\"":-94.25467191970849,\""north\"":41.0499883802915,\""south\"":41.0472904197085,\""west\"":-94.2573698802915}}""}"
118482,21-143,Water Treatment Plant Rehabilitation,"851 W 42nd St, Odessa, TX 79764, USA","{""location"":{""lat"":31.8794341,""lng"":-102.396267},""viewport"":{""east"":-102.3949825197085,""north"":31.8809957802915,""south"":31.8782978197085,""west"":-102.3976804802915}}","{""Street1"":""851 W 42nd St"",""Street2"":null,""City"":""Odessa"",""State"":""TX"",""Zip"":""79764"",""Country"":""USA"",""GooglePlaceID"":""EiQ4NTEgVyA0Mm5kIFN0LCBPZGVzc2EsIFRYIDc5NzY0LCBVU0EiURJPCjQKMglfuPAHq8n7hhHXpgIaj4qpvxoeCxDuwe6hARoUChIJ59dlc4W3-4YRvrpLle4UqqsMENMGKhQKEgmdBl3vRbb7hhFAd-e772wWSw"",""CityStateString"":""Odessa, TX"",""Address_HTML"":""<span class=\""street-address\"">851 W 42nd St</span>, <span class=\""locality\"">Odessa</span>, <span class=\""region\"">TX</span> <span class=\""postal-code\"">79764</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""851 W 42nd St, Odessa, TX 79764, USA"",""Address_Vicinity"":""Odessa"",""DistanceToHME"":""{\""DistanceMeters\"":1190225,\""DistanceMiles\"":739.5733654790163,\""DistanceText\"":\""740 mi\"",\""DurationDays\"":1.3565625,\""DurationMinutes\"":651.15,\""DurationSeconds\"":39069,\""DurationText\"":\""10 hours 51 mins\"",\""TransitDurationText\"":\""1 day, 2 hours, 53 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":31.8794341,\""lng\"":-102.396267},\""viewport\"":{\""east\"":-102.3949825197085,\""north\"":31.8809957802915,\""south\"":31.8782978197085,\""west\"":-102.3976804802915}}""}"
118559,21-146,CSU Lory Student Center,"1101 Center Ave Mall, Fort Collins, CO 80521, USA","{""location"":{""lat"":40.5748455,""lng"":-105.0846754},""viewport"":{""east"":-105.0827069697085,""north"":40.57563288029149,""south"":40.5729349197085,""west"":-105.0854049302915}}","{""Street1"":""1101 Center Ave Mall"",""Street2"":null,""City"":""Fort Collins"",""State"":""CO"",""Zip"":""80521"",""Country"":""USA"",""GooglePlaceID"":""ChIJgdcQNVdKaYcR4-RAVouaK_Y"",""CityStateString"":""Fort Collins, CO"",""Address_HTML"":""<span class=\""street-address\"">1101 Center Ave Mall</span>, <span class=\""locality\"">Fort Collins</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80521</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""1101 Center Ave Mall, Fort Collins, CO 80521, USA"",""Address_Vicinity"":""Fort Collins"",""DistanceToHME"":""{\""DistanceMeters\"":957665,\""DistanceMiles\"":595.0669218437372,\""DistanceText\"":\""595 mi\"",\""DurationDays\"":1.0852430555555554,\""DurationMinutes\"":520.9166666666666,\""DurationSeconds\"":31255,\""DurationText\"":\""8 hours 41 mins\"",\""TransitDurationText\"":\""1 day, 44 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":40.5748455,\""lng\"":-105.0846754},\""viewport\"":{\""east\"":-105.0827069697085,\""north\"":40.57563288029149,\""south\"":40.5729349197085,\""west\"":-105.0854049302915}}""}"
119127,22-001,Mars Project Y,"100 Mars Blvd, Topeka, KS 66619, USA","{""location"":{""lat"":38.932421,""lng"":-95.692968},""viewport"":{""east"":-95.6919431697085,""north"":38.9343788802915,""south"":38.9316809197085,""west"":-95.6946411302915}}","{""Street1"":""100 Mars Blvd"",""Street2"":null,""City"":""Topeka"",""State"":""KS"",""Zip"":""66619"",""Country"":""USA"",""GooglePlaceID"":""ChIJkzqHDtYdv4cRRagRLHKeLXA"",""CityStateString"":""Topeka, KS"",""Address_HTML"":""<span class=\""street-address\"">100 Mars Blvd</span>, <span class=\""locality\"">Topeka</span>, <span class=\""region\"">KS</span> <span class=\""postal-code\"">66619</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""100 Mars Blvd, Topeka, KS 66619, USA"",""Address_Vicinity"":""100 Mars Boulevard, Topeka"",""DistanceToHME"":""{\""DistanceMeters\"":30705,\""DistanceMiles\"":19.079249878832318,\""DistanceText\"":\""19.1 mi\"",\""DurationDays\"":0.04847222222222222,\""DurationMinutes\"":23.266666666666666,\""DurationSeconds\"":1396,\""DurationText\"":\""23 mins\"",\""TransitDurationText\"":\""24 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":38.932421,\""lng\"":-95.692968},\""viewport\"":{\""east\"":-95.6919431697085,\""north\"":38.9343788802915,\""south\"":38.9316809197085,\""west\"":-95.6946411302915}}""}"
119128,22-002,HME ERECTION 22-001 MARS PROJECT Y,NULL,"{""location"":{""lat"":null,""lng"":null},""viewport"":{""east"":null,""north"":null,""south"":null,""west"":null}}","{""Street1"":null,""Street2"":null,""City"":null,""State"":null,""Zip"":null,""Country"":null,""GooglePlaceID"":null,""CityStateString"":null,""Address_HTML"":null,""Address_Formatted"":null,""Address_Vicinity"":null,""DistanceToHME"":""{\""DistanceMeters\"":null,\""DistanceMiles\"":0,\""DistanceText\"":null,\""DurationDays\"":0,\""DurationMinutes\"":0,\""DurationSeconds\"":null,\""DurationText\"":null,\""TransitDurationText\"":null}"",""Geometry"":""{\""location\"":{\""lat\"":null,\""lng\"":null},\""viewport\"":{\""east\"":null,\""north\"":null,\""south\"":null,\""west\"":null}}""}"
119241,22-004,McKinney Ranch Pump Station,"3250 McKinney Ranch Pkwy, McKinney, TX 75070, USA","{""location"":{""lat"":33.1594978,""lng"":-96.6548962},""viewport"":{""east"":-96.65354771970851,""north"":33.16064438029149,""south"":33.15794641970849,""west"":-96.65624568029152}}","{""Street1"":""3250 McKinney Ranch Pkwy"",""Street2"":null,""City"":""McKinney"",""State"":""TX"",""Zip"":""75070"",""Country"":""USA"",""GooglePlaceID"":""ChIJ55Ns2U8RTIYRQ_pjxI-lKA0"",""CityStateString"":""McKinney, TX"",""Address_HTML"":""<span class=\""street-address\"">3250 McKinney Ranch Pkwy</span>, <span class=\""locality\"">McKinney</span>, <span class=\""region\"">TX</span> <span class=\""postal-code\"">75070</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""3250 McKinney Ranch Pkwy, McKinney, TX 75070, USA"",""Address_Vicinity"":""McKinney"",""DistanceToHME"":""{\""DistanceMeters\"":814448,\""DistanceMiles\"":506.07578261896185,\""DistanceText\"":\""506 mi\"",\""DurationDays\"":0.9113888888888888,\""DurationMinutes\"":437.46666666666664,\""DurationSeconds\"":26248,\""DurationText\"":\""7 hours 17 mins\"",\""TransitDurationText\"":\""7 hours, 17 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":33.1594978,\""lng\"":-96.6548962},\""viewport\"":{\""east\"":-96.65354771970851,\""north\"":33.16064438029149,\""south\"":33.15794641970849,\""west\"":-96.65624568029152}}""}"
119253,22-005,Kaw Lake Water Supply Project,"6323 W Chestnut Ave, Enid, OK 73703, USA","{""location"":{""lat"":36.4046147,""lng"":-97.94638920000001},""viewport"":{""east"":-97.94503991970849,""north"":36.4063316302915,""south"":36.4036336697085,""west"":-97.9477378802915}}","{""Street1"":""6323 W Chestnut Ave"",""Street2"":null,""City"":""Enid"",""State"":""OK"",""Zip"":""73703-3440"",""Country"":""USA"",""GooglePlaceID"":""Eig2MzIzIFcgQ2hlc3RudXQgQXZlLCBFbmlkLCBPSyA3MzcwMywgVVNBIlESTwo0CjIJI0qZdXTSr4cRcXdjR1jrUVkaHgsQ7sHuoQEaFAoSCWvCjs77za-HEdCRR81jJHmADBCzMSoUChIJz7nlY0bSr4cRoHdbTOYJLPA"",""CityStateString"":""Enid, OK"",""Address_HTML"":""<span class=\""street-address\"">6323 W Chestnut Ave</span>, <span class=\""locality\"">Enid</span>, <span class=\""region\"">OK</span> <span class=\""postal-code\"">73703-3440</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""6323 W Chestnut Ave, Enid, OK 73703, USA"",""Address_Vicinity"":""Enid"",""DistanceToHME"":""{\""DistanceMeters\"":412990,\""DistanceMiles\"":256.6207265090037,\""DistanceText\"":\""257 mi\"",\""DurationDays\"":0.5,\""DurationMinutes\"":240,\""DurationSeconds\"":14400,\""DurationText\"":\""4 hours 0 mins\"",\""TransitDurationText\"":\""4 hours\""}"",""Geometry"":""{\""location\"":{\""lat\"":36.4046147,\""lng\"":-97.94638920000001},\""viewport\"":{\""east\"":-97.94503991970849,\""north\"":36.4063316302915,\""south\"":36.4036336697085,\""west\"":-97.9477378802915}}""}"
119290,22-007,Eagle Mountain & Westside WTP Enclosures,"12200 Old Weatherford Rd, Aledo, TX 76008, USA","{""location"":{""lat"":32.7437057,""lng"":-97.53073200000001},""viewport"":{""east"":-97.5293907197085,""north"":32.74483325000001,""south"":32.74032305,""west"":-97.53208868029151}}","{""Street1"":""12200 Old Weatherford Rd"",""Street2"":null,""City"":""Aledo"",""State"":""TX"",""Zip"":""76008-2935"",""Country"":""USA"",""GooglePlaceID"":""ChIJU-ai2qMOToYRjhnc1n-yUsI"",""CityStateString"":""Aledo, TX"",""Address_HTML"":""<span class=\""street-address\"">12200 Old Weatherford Rd</span>, <span class=\""locality\"">Aledo</span>, <span class=\""region\"">TX</span> <span class=\""postal-code\"">76008-2935</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""12200 Old Weatherford Rd, Aledo, TX 76008, USA"",""Address_Vicinity"":""Aledo"",""DistanceToHME"":""{\""DistanceMeters\"":819112,\""DistanceMiles\"":508.9738650626965,\""DistanceText\"":\""509 mi\"",\""DurationDays\"":0.9244444444444445,\""DurationMinutes\"":443.73333333333335,\""DurationSeconds\"":26624,\""DurationText\"":\""7 hours 24 mins\"",\""TransitDurationText\"":\""7 hours, 22 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":32.7437057,\""lng\"":-97.53073200000001},\""viewport\"":{\""east\"":-97.5293907197085,\""north\"":32.74483325000001,\""south\"":32.74032305,\""west\"":-97.53208868029151}}""}"
119292,22-008,(922-046) Kaw Lake Raw Water Intake,"6323 W Chestnut Ave, Enid, OK 73703, USA","{""location"":{""lat"":36.403668,""lng"":-97.957814},""viewport"":{""east"":-97.95646461970848,""north"":36.40619969999999,""south"":36.4028241,""west"":-97.95916258029149}}","{""Street1"":""6323 W Chestnut Ave"",""Street2"":null,""City"":""Enid"",""State"":""OK"",""Zip"":""73703-3531"",""Country"":""USA"",""GooglePlaceID"":""ChIJt-m733XSr4cR84yc7UIZI-U"",""CityStateString"":""Enid, OK"",""Address_HTML"":""<span class=\""street-address\"">6323 W Chestnut Ave</span>, <span class=\""locality\"">Enid</span>, <span class=\""region\"">OK</span> <span class=\""postal-code\"">73703-3531</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""6323 W Chestnut Ave, Enid, OK 73703, USA"",""Address_Vicinity"":""Enid"",""DistanceToHME"":""{\""DistanceMeters\"":423382,\""DistanceMiles\"":263.0780319882685,\""DistanceText\"":\""263 mi\"",\""DurationDays\"":0.4958680555555556,\""DurationMinutes\"":238.01666666666668,\""DurationSeconds\"":14281,\""DurationText\"":\""3 hours 58 mins\"",\""TransitDurationText\"":\""4 hours\""}"",""Geometry"":""{\""location\"":{\""lat\"":36.403668,\""lng\"":-97.957814},\""viewport\"":{\""east\"":-97.95646461970848,\""north\"":36.40619969999999,\""south\"":36.4028241,\""west\"":-97.95916258029149}}""}"
119418,22-010,Ceti Alpha - Windsor Colorado Cold Storage Facility,"Great Western Dr, Windsor, CO, USA","{""location"":{""lat"":40.4591737,""lng"":-104.8561675},""viewport"":{""east"":-104.8548185197085,""north"":40.4605226802915,""south"":40.4578247197085,""west"":-104.8575164802915}}","{""Street1"":""Great Western Dr"",""Street2"":null,""City"":""Windsor"",""State"":""CO"",""Zip"":null,""Country"":""USA"",""GooglePlaceID"":""EiJHcmVhdCBXZXN0ZXJuIERyLCBXaW5kc29yLCBDTywgVVNBIi4qLAoUChIJvXYD--2vbocRqcYe9KpW0vkSFAoSCbG-p91OSmmHEUx363WVarIF"",""CityStateString"":""Windsor, CO"",""Address_HTML"":""<span class=\""street-address\"">Great Western Dr</span>, <span class=\""locality\"">Windsor</span>, <span class=\""region\"">CO</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""Great Western Dr, Windsor, CO, USA"",""Address_Vicinity"":""Windsor"",""DistanceToHME"":""{\""DistanceMeters\"":948000,\""DistanceMiles\"":589.0613543440169,\""DistanceText\"":\""589 mi\"",\""DurationDays\"":1.0763541666666667,\""DurationMinutes\"":516.65,\""DurationSeconds\"":30999,\""DurationText\"":\""8 hours 37 mins\"",\""TransitDurationText\"":\""1 day, 39 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":40.4591737,\""lng\"":-104.8561675},\""viewport\"":{\""east\"":-104.8548185197085,\""north\"":40.4605226802915,\""south\"":40.4578247197085,\""west\"":-104.8575164802915}}""}"
119584,22-013,Ark City WWTP Stairs,"1701 S M St, Arkansas City, KS 67005, USA","{""location"":{""lat"":37.0430943,""lng"":-97.02437359999999},""viewport"":{""east"":-97.0227634197085,""north"":37.0444345802915,""south"":37.0417366197085,""west"":-97.0254613802915}}","{""Street1"":""1701 S M St"",""Street2"":null,""City"":""Arkansas City"",""State"":""KS"",""Zip"":""67005"",""Country"":""USA"",""GooglePlaceID"":""ChIJF5q5O3SBsIcRxgJ6Vncbh1Q"",""CityStateString"":""Arkansas City, KS"",""Address_HTML"":""<span class=\""street-address\"">1701 S M St</span>, <span class=\""locality\"">Arkansas City</span>, <span class=\""region\"">KS</span> <span class=\""postal-code\"">67005</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""1701 S M St, Arkansas City, KS 67005, USA"",""Address_Vicinity"":""Arkansas City"",""DistanceToHME"":""{\""DistanceMeters\"":289746,\""DistanceMiles\"":180.0402649533349,\""DistanceText\"":\""180 mi\"",\""DurationDays\"":0.36138888888888887,\""DurationMinutes\"":173.46666666666667,\""DurationSeconds\"":10408,\""DurationText\"":\""2 hours 53 mins\"",\""TransitDurationText\"":\""2 hours, 53 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":37.0430943,\""lng\"":-97.02437359999999},\""viewport\"":{\""east\"":-97.0227634197085,\""north\"":37.0444345802915,\""south\"":37.0417366197085,\""west\"":-97.0254613802915}}""}"
119617,22-014,REIMAGINING MONTBELLO,"5000 Crown Blvd, Denver, CO 80239, USA","{""location"":{""lat"":39.7872005,""lng"":-104.8272828},""viewport"":{""east"":-104.8265503697085,""north"":39.7881866802915,""south"":39.7854887197085,""west"":-104.8292483302915}}","{""Street1"":""5000 Crown Blvd"",""Street2"":null,""City"":""Denver"",""State"":""CO"",""Zip"":""80239"",""Country"":""USA"",""GooglePlaceID"":""ChIJ37RDX8RkbIcRUwW67WEMDpw"",""CityStateString"":""Denver, CO"",""Address_HTML"":""<span class=\""street-address\"">5000 Crown Blvd</span>, <span class=\""locality\"">Denver</span>, <span class=\""region\"">CO</span> <span class=\""postal-code\"">80239</span>, <span class=\""country-name\"">USA</span>"",""Address_Formatted"":""5000 Crown Blvd, Denver, CO 80239, USA"",""Address_Vicinity"":""Denver"",""DistanceToHME"":""{\""DistanceMeters\"":852325,\""DistanceMiles\"":529.6115177650465,\""DistanceText\"":\""530 mi\"",\""DurationDays\"":0.9386805555555555,\""DurationMinutes\"":450.56666666666666,\""DurationSeconds\"":27034,\""DurationText\"":\""7 hours 31 mins\"",\""TransitDurationText\"":\""7 hours, 32 minutes\""}"",""Geometry"":""{\""location\"":{\""lat\"":39.7872005,\""lng\"":-104.8272828},\""viewport\"":{\""east\"":-104.8265503697085,\""north\"":39.7881866802915,\""south\"":39.7854887197085,\""west\"":-104.8292483302915}}""}"
